"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96"
"Well","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
"CQ","18.31375","18.31375","18.06061","18.31926","18.12379","18.26013","18.08834","18.14405","18.26536","18.24695","18.29952","18.59818","18.50808","18.32433","18.21119","18.11020","17.80499","17.99558","18.02517","18.04470","18.07160","17.96600","18.28077","18.28077","18.30320","18.16107","18.10178","18.02436","18.02730","17.97166","18.07685","17.93883","18.04969","17.95377","17.99505","18.16192","18.30500","18.19192","17.99590","17.92073","18.02135","18.07901","18.10466","17.92217","17.75263","18.09013","18.00031","18.17295","18.20819","18.27930","18.05019","18.01004","18.03667","18.09201","17.95528","17.98217","17.98825","17.94756","17.99797","18.08792","18.29745","18.21159","18.09745","18.08280","18.01115","18.01111","18.01111","17.86697","18.34657","17.98055","17.93655","18.07156","18.17074","18.17074","18.15356","18.05697","17.94173","17.97997","17.96691","18.01326","18.00020","18.05929","18.10994","18.29385","18.51324","18.31220","18.15038","18.25547","17.99594","18.04018","18.12796","18.09490","17.97010","18.15502","18.21397","18.21397"
